Training POS tagger....
Averaging weights....
Done!

Training dependency parser....
0 0.622
1 0.706
2 0.749
3 0.774
4 0.794
5 0.809
6 0.822
7 0.831
8 0.840
9 0.846
10 0.849
11 0.853
12 0.857
13 0.859
14 0.862
Averaging weights....
Done!

Saving model to model/parser.pickle
13 provided 9 9
14 a 18 18
15 10 16 18
16 % 18 18
17 wage 18 18
18 increase 13 13
19 over 18 18
20 the 21 21
21 life 19 19
22 of 21 21
23 the 24 24
24 pact 22 22
25 , 18 19
26 plus 18 19
27 some 28 28
28 bonuses 18 19
29 . 5 5

0 ROOT ROOT None
1 Currently 7 4
2 , 7 4
3 average 4 4
4 pay 7 7
5 for 4 4
6 machinists 5 5
7 is 14 14
8 $ 7 7
9 13.39 8 8
10 an 11 11
11 hour 8 8
12 , 14 14
13 Boeing 14 14
14 said 0 16
15 . 14 14

0 ROOT ROOT None
1 Now 2 10
2 in 10 1
3 its 5 5
4 13th 5 5
5 day 2 2
6 , 10 10
7 the 8 8
8 strike 10 10
9 has 10 10
10 idled 0 24
11 about 12 10
12 55,000 13 13
13 machinists 10 11
14 and 10 10
15 has 16 16
16 started 10 10
17 to 18 18
18 delay 16 16
19 delivery 18 18
20 of 19 19
21 some 22 22
22 jetliners 20 20
23 . 10 10

0 ROOT ROOT None
1 With 14 14
2 a 4 4
3 strike 4 4
4 fund 1 1
5 of 4 4
6 about 7 7
7 $ 5 5
8 100 7 9
9 million 7 7
10 , 14 14
11 the 12 12
12 union 14 14
13 had 14 14
14 said 0 23
15 it 17 17
16 was 17 17
17 prepared 14 14
18 for 17 17
19 a 21 21
20 long 21 21
21 strike 18 18
22 . 14 14

0 ROOT ROOT None
1 After 11 21
2 the 4 4
3 third 4 4
4 week 1 1
5 on 4 4
6 strike 5 5
7 , 11 11
8 union 9 9
9 members 11 11
10 will 11 11
11 begin 0 1
12 receiving 11 11
13 $ 12 12
14 100 13 13
15 a 16 16
16 week 13 13
17 from 12 12
18 the 19 19
19 fund 17 17
20 . 11 11

0 ROOT ROOT None
1 Work 4 15
2 at 1 1
3 Boeing 2 2
4 continues 0 3
5 with 4 4
6 supervisors 11 5
7 and 6 6
8 other 10 10
9 non-striking 10 10
10 personnel 6 6
11 manning 5 6
12 the 13 13
13 lines 11 11
14 . 4 1

0 ROOT ROOT None
1 And 23 23
2 at 20 20
3 the 4 4
4 company 10 10
5 's 4 4
6 Wichita 10 10
7 , 6 6
8 Kan. 6 6
9 , 6 6
10 plant 2 2
11 , 20 20
12 about 13 13
13 2,400 20 11
14 of 13 13
15 the 17 17
16 11,700 17 17
17 machinists 14 14
18 still 20 20
19 are 20 20
20 working 23 23
21 , 23 23
22 Boeing 23 23
23 said 0 25
24 . 23 23

0 ROOT ROOT None
1 Under 9 9
2 Kansas 4 4
3 right-to-work 4 4
4 laws 1 1
5 , 9 9
6 contracts 9 9
7 can 9 9
8 not 9 9
9 require 0 16
10 workers 12 9
11 to 12 12
12 be 9 10
13 union 14 14
14 members 12 12
15 . 9 9

0 ROOT ROOT None
1 Boeing 3 3
2 has 3 3
3 declined 0 20
4 to 5 5
5 say 3 3
6 how 7 10
7 many 8 8
8 employees 10 10
9 are 10 10
10 working 5 5
11 at 10 10
12 its 18 14
13 giant 18 14
14 Renton 18 18
15 , 14 14
16 Wash. 14 14
17 , 14 14
18 plant 11 11
19 . 3 3

0 ROOT ROOT None
1 Union 2 2
2 officials 6 6
3 could 6 6
4 n't 6 6
5 be 6 6
6 reached 0 10
7 for 6 6
8 comment 7 7
9 . 6 6

0 ROOT ROOT None
1 DPC 3 3
2 Acquisition 3 3
3 Partners 12 12
4 , 3 3
5 a 7 7
6 hostile 7 7
7 suitor 3 3
8 for 7 7
9 Dataproducts 10 10
10 Corp. 8 8
11 , 3 3
12 said 0 29
13 it 14 14
14 intends 12 12
15 to 16 16
16 launch 14 14
17 a 19 19
18 tender 19 19
19 offer 16 16
20 for 19 19
21 the 24 24
22 computer 24 24
23 printer 24 24
24 maker 27 27
25 's 24 24
26 common 27 27
27 stock 20 20
28 . 12 12

0 ROOT ROOT None
1 DPC 16 16
2 , 1 1
3 a 4 4
4 group 1 1
5 led 4 4
6 by 5 5
7 the 13 11
8 New 13 11
9 York 13 11
10 investment 13 11
11 firm 13 13
12 Crescott 13 13
13 Inc. 6 6
14 , 1 16
15 also 16 16
16 said 0 39
17 it 18 18
18 plans 16 16
19 to 20 20
20 file 18 18
21 preliminary 22 22
22 materials 20 20
23 with 20 22
24 the 28 28
25 Securities 28 28
26 and 25 25
27 Exchange 25 25
28 Commission 23 23
29 regarding 20 20
30 a 32 32
31 shareholder 32 32
32 solicitation 29 29
33 to 34 34
34 oust 32 29
35 Dataproducts 37 37
36 ' 35 35
37 board 34 34
38 . 16 16

0 ROOT ROOT None
1 DPC 2 2
2 holds 0 32
3 a 6 6
4 7.8 5 5
5 % 6 6
6 stake 2 2
7 in 6 6
8 Dataproducts 7 7
9 and 2 2
10 made 2 2
11 a 14 14
12 $ 14 14
13 15-a-share 12 14
14 bid 10 10
15 for 14 14
16 the 17 17
17 company 15 15
18 in 10 17
19 May 18 18
20 , 2 2
21 but 2 2
22 Dataproducts 23 23
23 management 24 24
24 considered 2 2
25 the 29 29
26 $ 29 29
27 283.7 28 28
28 million 26 26
29 proposal 30 24
30 unacceptable 24 29
31 . 2 2

0 ROOT ROOT None
1 A 3 3
2 DPC 3 3
3 spokesman 4 4
4 declined 0 14
5 to 6 6
6 elaborate 4 4
7 on 6 6
8 the 9 9
9 group 12 12
10 's 9 9
11 new 12 12
12 plan 7 7
13 . 4 4

0 ROOT ROOT None
1 In 11 11
2 American 6 6
3 Stock 6 6
4 Exchange 6 6
5 composite 6 6
6 trading 1 1
7 yesterday 11 11
8 , 11 11
9 Dataproducts 10 10
10 shares 11 11
11 jumped 0 20
12 62.5 13 13
13 cents 11 11
14 to 15 15
15 close 11 11
16 at 15 15
17 $ 16 16
18 9.375 17 17
19 . 11 11

0 ROOT ROOT None
1 Dataproducts 13 13
2 , 1 1
3 which 6 6
4 had 6 6
5 been 6 6
6 seeking 1 1
7 a 8 8
8 buyer 6 6
9 for 6 8
10 several 11 11
11 months 9 9
12 , 1 1
13 announced 0 27
14 a 16 16
15 restructuring 16 16
16 plan 13 13
17 in 13 13
18 September 17 17
19 and 13 13
20 took 13 13
21 itself 20 20
22 off 20 20
23 the 25 25
24 auction 25 25
25 block 22 20
26 . 13 13

0 ROOT ROOT None
1 The 2 2
2 company 4 4
3 's 2 2
4 restructuring 5 5
5 includes 0 28
6 plans 5 5
7 to 8 8
8 split 6 6
9 into 8 8
10 three 11 11
11 sectors 9 9
12 , 8 8
13 to 14 14
14 phase 8 8
15 out 14 14
16 domestic 19 19
17 printer 19 19
18 manufacturing 19 19
19 operations 14 14
20 and 8 8
21 to 22 22
22 sell 8 8
23 its 26 26
24 New 26 26
25 England 26 26
26 subsidiary 22 22
27 . 5 5

0 ROOT ROOT None
1 As 8 8
2 part 1 1
3 of 2 2
4 the 5 5
5 plan 3 3
6 , 8 8
7 Dataproducts 8 8
8 announced 0 34
9 a 10 10
10 pact 8 8
11 to 12 12
12 sell 10 8
13 $ 12 12
14 63 15 15
15 million 13 13
16 of 13 13
17 its 20 20
18 real 20 20
19 estate 20 20
20 holdings 16 16
21 to 12 12
22 Trizec 24 24
23 Properties 24 24
24 Inc. 21 21
25 , 24 24
26 a 27 27
27 unit 24 24
28 of 27 27
29 Canada 32 32
30 's 29 29
31 Trizec 32 32
32 Corp 28 28
33 . 8 8

0 ROOT ROOT None
1 Jack 2 2
2 Davis 14 14
3 , 2 2
4 Dataproducts 6 6
5 ' 4 4
6 president 2 2
7 , 6 6
8 chairman 6 6
9 and 6 8
10 chief 12 12
11 executive 12 12
12 officer 6 8
13 , 2 2
14 said 0 29
15 the 16 16
16 company 18 18
17 `` 18 18
18 is 14 14
19 at 18 18
20 a 21 21
21 loss 19 19
22 to 23 23
23 understand 18 21
24 DPC 26 26
25 's 24 24
26 intentions 23 23
27 . 14 14
28 '' 14 14

0 ROOT ROOT None
1 He 2 2
2 called 0 22
3 today 5 5
4 's 3 3
5 announcement 7 2
6 `` 7 5
7 opportunistic 2 6
8 and 7 7
9 disruptive 7 7
10 '' 7 9
11 and 2 2
12 said 2 2
13 the 14 14
14 company 15 15
15 intends 12 12
16 to 17 17
17 proceed 15 15
18 with 17 17
19 its 20 20
20 restructuring 18 18
21 . 2 2

0 ROOT ROOT None
1 Share 2 2
2 prices 3 3
3 plummeted 0 31
4 across 3 3
5 Europe 4 4
6 yesterday 3 3
7 in 3 3
8 response 7 7
9 to 8 8
10 Friday 14 14
11 's 10 10
12 New 14 14
13 York 14 14
14 sell-off 9 9
15 , 3 3
16 but 3 3
17 some 18 18
18 issues 19 19
19 staged 3 3
20 a 22 22
21 late 22 22
22 comeback 19 19
23 after 26 26
24 Wall 25 25
25 Street 26 26
26 opened 19 22
27 without 26 26
28 another 29 29
29 rout 27 27
30 . 3 3

0 ROOT ROOT None
1 European 2 2
2 investors 3 3
3 have 0 15
4 further 5 5
5 reason 3 3
6 for 5 5
7 optimism 6 8
8 today 3 6
9 , 3 3
10 after 3 9
11 the 13 13
12 U.S. 13 13
13 rebound 10 10
14 . 3 3

0 ROOT ROOT None
1 The 4 4
2 Frankfurt 4 4
3 Stock 4 4
4 Exchange 15 15
5 , 4 4
6 which 7 7
7 closed 4 4
8 before 13 7
9 the 12 11
10 New 12 11
11 York 12 8
12 exchanges 13 7
13 opened 7 12
14 , 4 4
15 was 0 33
16 the 18 18
17 hardest 18 18
18 hit 15 15
19 of 18 18
20 the 23 23
21 major 23 23
22 European 23 23
23 markets 19 19
24 , 15 15
25 with 15 15
26 the 28 28
27 DAX 28 28
28 Index 29 25
29 dropping 25 28
30 12.8 31 31
31 % 29 29
32 . 15 15

0 ROOT ROOT None
1 In 5 5
2 London 1 1
3 , 5 5
4 prices 5 5
5 plummeted 0 33
6 in 5 5
7 early 8 8
8 trading 6 6
9 and 5 5
10 were 5 5
11 off 10 10
12 as 15 15
13 much 15 15
14 as 15 15
15 9 16 16
16 % 11 10
17 before 10 10
18 coming 17 17
19 back 18 18
20 strong 18 18
21 after 18 20
22 the 25 24
23 New 25 24
24 York 25 21
25 opening 21 18
26 to 27 27
27 close 18 25
28 down 27 27
29 only 30 30
30 3.2 31 31
31 % 28 27
32 . 5 5

0 ROOT ROOT None
1 West 6 2
2 German 6 3
3 Economics 6 6
4 Minister 6 6
5 Helmut 6 6
6 Haussmann 7 7
7 said 0 22
8 , 7 7
9 `` 7 7
10 In 18 18
11 my 12 12
12 view 10 10
13 , 18 18
14 the 16 16
15 stock 16 16
16 market 18 18
17 will 18 18
18 stabilize 7 7
19 relatively 20 20
20 quickly 18 18
21 . 7 7

0 ROOT ROOT None
1 There 3 3
2 may 3 3
3 be 0 20
4 one 7 10
5 or 7 4
6 other 7 10
7 psychological 10 10
8 or 7 7
9 technical 7 10
10 reactions 3 3
11 , 3 3
12 but 3 3
13 they 16 16
14 are 16 16
15 n't 16 16
16 based 3 3
17 on 16 16
18 fundamentals 17 17
19 . 3 3

0 ROOT ROOT None
1 The 2 2
2 economy 13 13
3 of 2 2
4 West 5 5
5 Germany 3 3
6 and 5 2
7 the 8 8
8 EC 5 11
9 { 11 10
10 European 11 11
11 Community 8 2
12 } 11 11
13 is 0 18
14 highly 15 15
15 stable 13 13
16 . 13 13
17 '' 13 13

0 ROOT ROOT None
1 Paris 18 16
2 , 1 1
3 which 5 5
4 has 5 5
5 been 1 1
6 the 7 7
7 center 5 5
8 of 7 7
9 speculation 10 10
10 fever 8 8
11 in 5 5
12 recent 13 13
13 weeks 11 11
14 , 1 1
15 also 18 16
16 was 18 18
17 hard 18 18
18 hit 0 20
19 . 18 18

0 ROOT ROOT None
1 Share 2 2
2 prices 3 3
3 fell 0 15
4 in 3 3
5 Milan 4 4
6 , 5 5
7 Amsterdam 5 5
8 , 5 5
9 Zurich 5 5
10 , 5 5
11 Madrid 5 5
12 and 5 5
13 Stockholm 5 5
14 . 3 3

0 ROOT ROOT None
1 Prices 13 15
2 in 1 1
3 Brussels 2 2
4 , 3 2
5 where 9 4
6 a 8 8
7 computer 8 8
8 breakdown 9 10
9 disrupted 3 10
10 trading 9 5
11 , 3 10
12 also 13 13
13 tumbled 0 10
14 . 13 1

0 ROOT ROOT None
1 Following 2 2
2 is 0 10
3 a 4 4
4 breakdown 2 2
5 of 4 4
6 major 8 8
7 market 8 8
8 activity 5 5
9 : 2 2

0 ROOT ROOT None
1 FRANKFURT 0 3
2 : 1 1

0 ROOT ROOT None
1 One 6 6
2 of 1 1
3 the 5 5
4 sharpest 5 5
5 declines 2 2
6 came 0 17
7 in 6 6
8 the 10 10
9 financial 10 10
10 center 7 7
11 of 10 10
12 Europe 15 15
13 's 12 12
14 strongest 15 15
15 economy 11 11
16 . 6 6

0 ROOT ROOT None
1 The 3 3
2 DAX 3 3
3 Index 10 10
4 of 3 3
5 30 9 9
6 West 9 7
7 German 9 9
8 blue 9 9
9 chips 4 4
10 plunged 0 25
11 12.8 12 12
12 % 10 10
13 , 12 10
14 a 16 16
15 one-day 16 16
16 record 12 10
17 , 12 10
18 wiping 10 10
19 out 18 18
20 the 21 21
21 summer 23 23
22 's 21 21
23 gains 18 18
24 . 10 10

0 ROOT ROOT None
1 The 2 2
2 index 3 3
3 closed 0 11
4 at 3 3
5 1385.72 4 4
6 , 3 3
7 down 3 3
8 203.56 9 9
9 points 7 7
10 . 3 3

0 ROOT ROOT None
1 By 16 16
2 comparison 1 1
3 , 16 2
4 two 5 5
5 years 6 6
6 ago 16 1
7 on 16 1
8 Black 9 9
9 Monday 7 7
10 , 16 16
11 the 13 13
12 new 13 13
13 index 16 16
14 would 16 16
15 have 16 16
16 dropped 0 28
17 9.4 18 18
18 % 16 16
19 , 16 16
20 according 16 16
21 to 20 20
22 a 23 23
23 projection 21 21
24 by 23 23
25 the 26 26
26 exchange 24 24
27 . 16 16

0 ROOT ROOT None
1 Investors 4 4
2 may 4 4
3 have 4 4
4 reacted 0 38
5 so 6 6
6 strongly 4 4
7 to 4 6
8 Friday 13 13
9 's 8 8
10 U.S. 13 13
11 stock 13 13
12 market 13 13
13 loss 7 7
14 because 16 13
15 they 16 14
16 had 4 15
17 vivid 18 18
18 memories 16 16
19 of 18 18
20 the 22 22
21 Frankfurt 22 22
22 exchange 19 19
23 's 22 22
24 losing 22 22
25 35 26 26
26 % 24 24
27 of 26 26
28 its 29 29
29 value 27 27
30 in 24 26
31 the 33 33
32 1987 33 33
33 crash 30 30
34 and 33 16
35 its 36 36
36 wake 33 16
37 . 4 4

0 ROOT ROOT None
1 This 2 2
2 time 12 18
3 , 12 2
4 however 12 12
5 , 12 12
6 many 8 8
7 small 8 8
8 investors 12 12
9 may 12 12
10 have 12 12
11 been 12 12
12 hurt 0 2
13 by 12 12
14 acting 13 13
15 so 16 16
16 swiftly 14 14
17 . 12 12

0 ROOT ROOT None
1 `` 11 11
2 They 4 4
3 all 2 4
4 went 11 11
5 in 4 4
6 the 8 8
7 wrong 8 8
8 direction 5 5
9 , 11 11
10 '' 11 11
11 said 0 27
12 Andreas 13 13
13 Insam 11 11
14 , 13 13
15 an 17 17
16 investment 17 17
17 adviser 13 13
18 for 17 17
19 the 20 20
20 Bank 18 18
21 in 17 20
22 Liechtenstein 25 25
23 's 22 22
24 Frankfurt 25 25
25 branch 21 21
26 . 11 11

0 ROOT ROOT None
1 He 2 2
2 said 0 21
3 he 4 4
4 told 2 2
5 clients 4 4
6 to 7 8
7 buy 4 8
8 selected 12 4
9 West 12 12
10 German 12 12
11 blue 12 12
12 chips 7 8
13 after 15 15
14 they 15 15
15 fell 7 8
16 by 15 15
17 about 18 18
18 10 19 19
19 % 16 16
20 . 2 2

0 ROOT ROOT None
1 After 5 5
2 the 3 3
3 opening 5 5
4 was 5 5
5 delayed 23 32
6 30 7 7
7 minutes 5 5
8 because 9 9
9 of 5 5
10 the 11 11
11 crush 9 9
12 of 11 11
13 sell 14 14
14 orders 12 12
15 , 23 23
16 Frankfurt 21 21
17 's 16 16
18 normal 21 21
19 two-hour 21 21
20 trading 21 21
21 session 23 23
22 was 23 23
23 extended 0 5
24 75 25 25
25 minutes 23 23
26 to 27 27
27 handle 23 23
28 the 30 30
29 heavy 30 30
30 volume 27 27
31 . 23 5

0 ROOT ROOT None
1 `` 8 8
2 The 3 3
3 beginning 4 4
4 was 8 8
5 chaotic 4 4
6 , 8 8
7 '' 8 8
8 said 0 18
9 Nigel 10 10
10 Longley 8 8
11 , 10 10
12 a 13 13
13 broker 10 10
14 for 13 13
15 Commerzbank 16 16
16 AG 14 14
17 . 8 8

0 ROOT ROOT None
1 `` 3 24
2 It 3 3
3 took 0 1
4 three-quarters 3 13
5 of 4 4
6 an 7 7
7 hour 5 5
8 before 13 7
9 enough 10 10
10 prices 13 13
11 could 13 13
12 be 13 13
13 worked 3 3
14 out 13 13
15 to 16 16
16 get 13 13
17 a 18 16
18 reading 16 17
19 on 18 18
20 the 21 21
21 market 19 19
22 . 3 3
23 '' 3 3

0 ROOT ROOT None
1 Institutional 2 2
2 investors 21 9
3 and 2 2
4 bankers 2 2
5 , 2 2
6 many 9 2
7 of 6 6
8 whom 7 9
9 spent 2 35
10 the 11 11
11 night 9 9
12 before 11 9
13 in 9 9
14 their 15 15
15 offices 13 13
16 watching 9 9
17 Far 19 18
18 Eastern 19 19
19 markets 16 16
20 , 2 9
21 were 0 9
22 cautiously 23 21
23 optimistic 21 21
24 after 21 23
25 the 29 26
26 mild 29 29
27 1.8 28 28
28 % 29 29
29 decline 24 24
30 in 29 29
31 Tokyo 33 33
32 stock 33 33
33 prices 30 30
34 . 21 9

0 ROOT ROOT None
1 `` 3 12
2 Everybody 3 3
3 was 0 1
4 still 3 5
5 confident 3 3
6 , 3 5
7 including 3 5
8 most 10 10
9 institutional 10 10
10 investors 7 7
11 . 3 3

0 ROOT ROOT None
1 That 2 2
2 is 21 21
3 why 8 5
4 everybody 8 5
5 was 8 2
6 a 7 5
7 little 8 6
8 surprised 2 7
9 by 8 8
10 the 11 11
11 storm 9 9
12 of 11 11
13 sell 14 14
14 orders 12 12
15 from 14 14
16 small 18 18
17 private 18 18
18 investors 15 15
19 , 21 21
20 '' 21 21
21 said 0 32
22 Norbert 23 23
23 Braeuer 21 21
24 , 23 23
25 a 27 27
26 senior 27 27
27 trader 23 23
28 for 27 27
29 Hessische 30 30
30 Landesbank 28 28
31 . 21 21

0 ROOT ROOT None
1 Some 3 3
2 big 3 3
3 institutions 8 8
4 , 3 3
5 including 3 3
6 banks 5 5
7 , 3 3
8 began 0 31
9 picking 8 8
10 up 9 9
11 lower-priced 12 12
12 shares 9 9
13 late 8 14
14 yesterday 13 9
15 , 8 8
16 but 8 8
17 most 18 18
18 investors 19 19
19 wanted 8 8
20 to 21 21
21 see 19 19
22 what 24 24
23 would 24 24
24 happen 21 21
25 in 24 24
26 New 27 27
27 York 25 25
28 before 21 24
29 acting 28 28
30 . 8 8

0 ROOT ROOT None
1 But 12 6
2 even 6 6
3 if 6 6
4 Wall 5 5
5 Street 6 6
6 continues 12 12
7 to 8 8
8 stabilize 6 6
9 , 12 12
10 analysts 12 12
11 here 10 10
12 say 0 51
13 the 15 15
14 latest 15 15
15 blow 20 12
16 to 15 17
17 investor 18 15
18 confidence 16 20
19 could 20 20
20 inhibit 12 17
21 a 23 23
22 swift 23 23
23 recovery 20 20
24 for 23 23
25 the 27 27
26 Frankfurt 27 27
27 exchange 24 24
28 , 27 27
29 which 32 32
30 already 32 31
31 was 32 32
32 showing 27 20
33 signs 32 32
34 of 33 33
35 weakness 34 34
36 after 40 40
37 the 38 38
38 DAX 40 40
39 had 40 40
40 slipped 32 33
41 from 40 40
42 a 44 44
43 1989 44 44
44 high 41 41
45 of 44 44
46 1657.61 45 45
47 on 40 44
48 Sept. 47 47
49 8 48 48
50 . 12 12

0 ROOT ROOT None
1 Some 8 8
2 of 1 1
3 West 4 4
4 Germany 7 7
5 's 4 4
6 bluest 7 7
7 chips 2 8
8 took 0 15
9 some 8 8
10 of 9 9
11 the 13 13
12 biggest 13 13
13 hits 10 10
14 . 8 8

0 ROOT ROOT None
1 A 4 4
2 16.3 3 3
3 % 4 4
4 drop 16 16
5 for 4 4
6 Mannesmann 7 7
7 AG 5 5
8 and 4 7
9 Dresdner 11 11
10 Bank 11 11
11 AG 15 15
12 's 11 11
13 9.6 14 14
14 % 15 15
15 decline 4 16
16 were 0 34
17 especially 18 18
18 problematic 16 16
19 for 18 18
20 their 22 22
21 respective 22 22
22 boards 19 19
23 , 22 16
24 whose 25 25
25 plans 34 34
26 for 25 25
27 major 29 29
28 rights 29 29
29 issues 26 26
30 in 29 25
31 November 30 30
32 could 34 34
33 now 34 34
34 be 22 38
35 in 34 34
36 jeopardy 35 35
37 . 16 34

0 ROOT ROOT None
1 Dresdner 2 2
2 Bank 5 4
3 last 4 4
4 month 5 5
5 said 0 28
6 it 7 7
7 hoped 5 5
8 to 9 9
9 raise 7 7
10 1.2 11 11
11 billion 12 12
12 marks 9 9
13 ( 14 14
14 $ 12 12
15 642.2 16 16
16 million 14 14
17 ) 14 14
18 by 9 9
19 issuing 18 18
20 four 21 21
21 million 22 22
22 shares 19 19
23 at 19 19
24 300 25 25
25 marks 23 23
26 each 25 25
27 . 5 5

0 ROOT ROOT None
1 Yet 5 4
2 yesterday 4 4
3 's 2 2
4 market 5 5
5 cropped 0 36
6 Dresdner 9 9
7 's 6 6
8 share 9 9
9 price 5 5
10 by 5 5
11 33 12 12
12 marks 10 10
13 to 5 5
14 309 15 15
15 marks 13 13
16 a 17 17
17 share 15 15
18 , 5 5
19 leaving 5 5
20 little 21 21
21 incentive 19 19
22 for 25 19
23 investors 25 22
24 to 25 25
25 subscribe 21 19
26 to 25 25
27 the 29 29
28 standing 29 29
29 price 26 26
30 unless 33 25
31 the 32 33
32 market 33 33
33 recovers 25 30
34 quickly 33 25
35 . 5 5

0 ROOT ROOT None
1 LONDON 0 3
2 : 1 1

0 ROOT ROOT None
1 Headed 13 13
2 toward 1 1
3 a 5 5
4 record 5 5
5 drop 2 2
6 at 5 5
7 midday 6 6
8 , 13 13
9 the 12 12
10 London 12 12
11 stock 12 12
12 market 13 13
13 recouped 0 28
14 two-thirds 13 13
15 of 14 14
16 its 17 17
17 losses 15 15
18 in 13 13
19 the 20 20
20 wake 18 18
21 of 20 20
22 New 23 23
23 York 26 26
24 's 23 23
25 early 26 26
26 rally 21 21
27 . 13 13

0 ROOT ROOT None
1 The 7 4
2 Financial 7 4
3 Times-Stock 7 4
4 Exchange 7 7
5 100 7 7
6 Share 7 7
7 Index 8 8
8 closed 0 31
9 off 8 10
10 70.5 11 11
11 points 9 8
12 , 8 8
13 at 8 8
14 2163.4 13 13
15 , 14 8
16 its 17 17
17 high 14 8
18 for 17 17
19 the 20 20
20 day 18 18
21 , 14 8
22 after 8 24
23 having 24 24
24 plunged 22 8
25 204.2 26 26
26 points 24 24
27 at 24 24
28 12:49 29 29
29 p.m 27 27
30 . 8 8

0 ROOT ROOT None
1 It 2 2
2 was 0 26
3 big 4 4
4 institutions 2 2
5 such 6 6
6 as 4 4
7 Norwich 10 10
8 Union 10 10
9 Insurance 10 10
10 Group 6 6
11 , 10 10
12 Scottish 15 15
13 Amicable 15 15
14 Investment 15 15
15 Managers 10 10
16 and 10 10
17 Standard 20 20
18 Life 20 20
19 Assurance 20 20
20 Co. 10 10
21 that 22 22
22 spearheaded 2 4
23 the 24 24
24 rally 22 22
25 . 2 2

0 ROOT ROOT None
1 Attracted 14 14
2 by 1 1
3 low 4 4
4 prices 2 2
5 and 1 1
6 encouraged 1 1
7 by 6 6
8 New 9 9
9 York 11 11
10 's 9 9
11 performance 7 7
12 , 14 14
13 they 14 14
14 scooped 0 21
15 up 14 14
16 equities 14 14
17 across 14 16
18 the 19 19
19 board 17 17
20 . 14 14

0 ROOT ROOT None
1 Volume 2 2
2 was 0 13
3 959.3 4 4
4 million 5 5
5 shares 2 2
6 , 5 2
7 more 9 8
8 than 9 9
9 triple 11 11
10 recent 11 11
11 levels 5 2
12 . 2 2

0 ROOT ROOT None
1 PARIS 0 3
2 : 1 1

0 ROOT ROOT None
1 Late 2 2
2 buying 3 3
3 gave 0 18
4 the 6 6
5 Paris 6 6
6 Bourse 3 3
7 a 8 8
8 parachute 3 6
9 after 3 8
10 its 12 12
11 free 12 12
12 fall 9 9
13 early 12 14
14 in 13 12
15 the 16 16
16 day 14 14
17 . 3 3

0 ROOT ROOT None
1 The 4 4
2 CAC 4 4
3 General 4 4
4 Index 5 5
5 ended 0 20
6 down 5 5
7 5.4 8 8
8 % 6 6
9 at 5 6
10 523.6 9 9
11 , 10 5
12 a 13 13
13 drop 10 5
14 of 13 13
15 29.6 16 16
16 points 14 14
17 from 13 13
18 Friday 17 17
19 . 5 5

0 ROOT ROOT None
1 `` 17 17
2 There 3 3
3 was 17 17
4 a 5 5
5 volatility 3 3
6 in 5 5
7 the 8 8
8 market 6 6
9 that 13 13
10 I 13 13
11 have 13 13
12 never 13 13
13 seen 5 8
14 before 13 13
15 , 17 17
16 '' 17 17
17 said 0 29
18 Michel 19 19
19 Vigier 17 17
20 , 19 19
21 a 22 22
22 partner 19 19
23 in 22 22
24 brokerage 27 27
25 firm 27 27
26 Cholet 27 27
27 Dupont 23 23
28 . 17 17

0 ROOT ROOT None
1 `` 13 5
2 When 5 5
3 Wall 4 4
4 Street 5 5
5 turned 13 20
6 around 5 5
7 shortly 8 8
8 after 5 5
9 the 10 10
10 opening 8 8
11 , 13 5
12 there 13 13
13 was 0 5
14 panic 15 15
15 buying 13 13
16 in 13 15
17 Paris 16 16
18 . 13 5
19 '' 13 5

0 ROOT ROOT None
1 Brokers 2 2
2 said 0 33
3 that 23 2
4 as 7 7
5 the 6 6
6 news 7 4
7 spread 23 3
8 that 12 12
9 Wall 10 10
10 Street 12 8
11 was 12 12
12 moving 7 7
13 up 12 12
14 , 23 12
15 traders 23 18
16 who 18 18
17 had 18 18
18 called 15 12
19 to 20 20
20 place 18 18
21 sell 22 22
22 orders 20 23
23 changed 2 20
24 their 25 25
25 line 23 23
26 in 23 25
27 mid-conversation 26 26
28 , 23 23
29 ordering 23 23
30 buys 29 29
31 instead 29 29
32 . 2 7

0 ROOT ROOT None
1 Trading 3 2
2 was 3 3
3 driven 0 24
4 primarily 3 3
5 by 3 3
6 small 7 7
7 investors 5 5
8 and 7 7
9 speculators 7 7
10 , 3 3
11 with 3 3
12 large 13 13
13 institutions 14 11
14 waiting 11 13
15 on 14 14
16 the 17 17
17 sidelines 15 15
18 until 14 14
19 late 18 18
20 in 19 14
21 the 22 22
22 day 20 20
23 . 3 3

0 ROOT ROOT None
1 When 4 4
2 Wall 3 3
3 Street 4 4
4 turned 11 11
5 , 11 4
6 however 11 4
7 , 11 11
8 the 10 10
9 big 10 10
10 boys 11 11
11 entered 0 19
12 the 13 13
13 market 11 11
14 , 11 11
15 looking 11 11
16 for 15 15
17 bargains 16 16
18 . 11 11

0 ROOT ROOT None
1 J.P. 2 2
2 Morgan 5 5
3 & 2 2
4 Co. 2 2
5 swung 0 33
6 to 5 5
7 a 8 8
8 loss 6 6
9 in 5 5
10 the 12 12
11 third 12 12
12 quarter 9 9
13 , 5 17
14 while 17 17
15 NCNB 16 16
16 Corp. 17 17
17 reported 5 5
18 net 19 19
19 income 22 29
20 more 21 19
21 than 22 22
22 doubled 17 19
23 , 17 19
24 and 17 19
25 Security 28 28
26 Pacific 28 28
27 Corp. 28 28
28 net 29 29
